Country,Currency,2000,2001,2002,2003,2004,2005,2006,2007
Albania,lek,445036844999.76,453036824389.70,506549247109.85,585718634643.17,652018747537.31,692036438014.02,,
Argentina,Argentine peso                          ,228714540000.00,216919170000.00,189087160000.00,202264940000.00,219152300000.00,237719340951.15,255246669200.71,
Armenia,dram,1155662000000.00,1222824000000.00,1338673000000.00,1449335500000.00,1630638100000.00,1893990800000.00,2031747090000.00,2484905000000.00
Australia,Australian dollar     ,555061142857.14,580318666666.67,601352666666.67,648071500000.00,685550333333.33,711478500000.00,748268000000.00,
Austria,1999 ATS euro / euro,152842176500.00,153699345500.00,154529545321.12,156450546217.92,164494122724.91,167800447826.29,171321999168.02,174179990071.55
Azerbaijan,Azerbaijan new manat,12572449466666.70,13611792440000.00,10902680100000.00,12756100710000.00,14142895400000.00,6527400000.00,7403800000.00,9796100000.00
Bahamas,Bahamian dollar,3344800000.00,3492700000.00,3457700000.00,3543270000.00,3609940000.00,3714630000.00,3843110000.00,
Bahrain,Bahrain dinar                           ,1825372513.07,1885162371.51,1960651023.62,2082310145.24,2144198455.45,2322725108.91,2544523438.54,
Bangladesh,taka,1584340000000.00,1659240000000.00,1753187000000.00,1825410000000.00,1892671000000.00,1971299000000.00,2058717000000.00,2165633000000.00
Belarus,Belarussian rouble (re-denom. 1:1000),2539100000000.00,7935600000000.00,14692200000000.00,22178000000000.00,30648800000000.00,41145200000000.00,51628338000000.00,61416535000000.00
Belgium,1999 BEF euro / euro,193332778356.40,196035953290.80,198423719792.20,207569338729.50,211268050000.00,217012834135.00,227877858746.00,236555000000.00
Belize,Belize dollar                           ,1081250000.00,1578600000.00,1699100000.00,1758800000.00,1754100000.00,1739200000.00,1672400000.00,
Benin,CFA franc                               ,717413000000.00,753345000000.00,794104000000.00,835632000000.00,834846000000.00,856163000000.00,878500000000.00,906000000000.00
Bhutan,Ngultum,13746900000.00,14662100000.00,15790900000.00,17323400000.00,17997700000.00,18917100000.00,19411100000.00,
Bolivia,boliviano                               ,19296126623.64,19581578961.65,20018917084.89,20441779271.33,21043316015.29,21744692842.00,22606117683.00,23536324122.00
Bosnia and Herzegovina,convertible marks,,,,,,19633000000.00,21221000000.00,
Botswana,pula                                    ,9038885659.00,9012539593.00,8751491819.00,9902660142.00,9823871251.00,10815719750.00,10707773073.00,11132215076.00
Brazil,real,875601153508.50,941319000000.00,1034815500000.00,1128354500000.00,1332454500000.00,1468845800000.00,,
Brunei Darussalam,Brunei Dollar,5240000000.00,5596000000.00,5557000000.00,5909000000.00,6407853437.19,6357669784.71,6856157000.00,
Bulgaria,lev (re-denom. 1:1000),11060099050000.00,12185060450000.00,27532701000.00,30607108000.00,32603824000.00,35885863000.00,40177665000.00,
Burkina Faso,CFA Franc,1825652908497.07,1957781414615.71,2005561393132.26,2103240949831.52,2313595939561.13,2321010035322.37,2498811925151.23,2629430190906.09
Cambodia,riel                                    ,9738748000000.00,11000889304521.20,14776923703689.80,15920189650419.20,17684807524676.20,19762292966858.00,21033051635018.00,22500242139793.60
Cameroon,CFA franc,4652070062010.55,4828546839752.93,5035739439429.90,5314040466906.57,6221109546177.94,6398042626302.79,6632075906027.42,
Canada,Canadian dollar,773918333333.33,794648666666.67,821125000000.00,846295666666.67,873407000000.00,924284000000.00,960826500000.00,
Cape Verde,escudo                                  ,20989362000.00,21777031000.00,23229237000.00,25486910000.00,27700975869.53,,,
Chad,CFA Franc,862997196064.88,870133534082.69,897452899321.20,946194957760.26,996920871363.65,1027205225718.61,1161230881718.50,1201480251142.70
Chile,Chilean peso                            ,16475146000000.00,27350166000000.00,28024625000000.00,33694755496139.20,35925905429134.80,38564452951095.50,46677121680495.90,50152640628462.80
"China, Hong Kong Special Administrative Region",Hong Kong dollar,766228666666.67,892131500000.00,888067500000.00,881533500000.00,934124500000.00,926371000000.00,973927000000.00,
"China, Macao Special Administrative Region",pataca                                  ,25851414704.65,26332262865.89,27474702261.12,28787332949.50,29830061643.17,32250654203.68,34433007184.86,
Colombia,Colombian peso                          ,62346289000000.00,63764516000000.00,65155700000000.00,66264252000000.00,69456773000000.00,72839800000000.00,,
Costa Rica,Costa Rican colon                       ,1126856075576.73,1143159150941.73,1177679748042.33,1210503839936.15,1244981328410.83,1284614733163.90,1352669532556.61,1427269628537.19
Cote d'Ivoire,CFA franc                               ,3204377000000.00,,,,,,,
Croatia,kuna                                    ,117243500000.00,121548500000.00,131541899518.44,137571500000.00,144115000000.00,171373581890.04,,
Cuba,Cuban Peso,21194600000.00,25134733333.33,25872800000.00,27486633333.33,29721950000.00,30989950000.00,35680450000.00,35607300000.00
Cyprus,Cyprus pound,4268000000.00,4509266666.67,4725100000.00,4851600000.00,5048800000.00,5245650000.00,5881800000.00,6171280000.00
Czech Republic,Czech koruna,1422312666666.67,1466375333333.33,1520036532109.56,1596529731317.03,1817378624735.32,1856969006759.26,1947559000000.00,
Denmark,Danish krone,889338000000.00,896490000000.00,909579500000.00,917808500000.00,948843000000.00,1047294000000.00,1080761000000.00,1104507000000.00
Dominican Republic,Dominican peso,186987800000.00,193524100000.00,204469000000.00,194370300000.00,200362600000.00,231308400000.00,258990300000.00,
Ecuador,US dollar                               ,82150606000.00,12442886000.00,13231746000.00,13856637000.00,14484450000.00,15481200000.00,16288600000.00,17220540000.00
Egypt,Egyptian pound                          ,274300000000.00,303950000000.00,333900000000.00,343000000000.00,,,,
El Salvador,US dollars,32858250000.00,33923600000.00,34506650000.00,35168325000.00,8389916400.00,8733749400.00,9139327275.89,
Estonia,Estonian Kroon,63611906348.75,66601213640.00,80455263160.33,88678126226.76,93482658722.05,102197530642.97,114902445474.96,
Finland,1999 FIM euro / euro,88964666666.67,90694000000.00,95892500000.00,99359000000.00,102071000000.00,105899000000.00,109136000000.00,112242000000.00
France,1999 FRF euro / euro,1084823000000.00,1111574000000.00,1137491443102.50,1158963690154.50,1236729362423.00,1263726477613.00,1288893571565.00,1316340668572.00
Germany,1999 DEM euro / euro,1998036666666.67,1576971740000.00,1574579455000.00,1576420525000.00,1573143850000.00,1627591340000.00,1642849000000.00,1645579320000.00
Greece,2001 GRD euro / euro,113121860015.67,115706287450.50,120791491316.35,124804995950.17,130187224286.63,147235511346.95,161009746469.08,161748854986.00
Guatemala,quetzal,4392000000.00,70973290907.79,73101320716.51,75507368823.71,77597301238.84,80722445638.33,,
Guinea,Guinean franc,,,,,,7866575000000.00,8129549000000.00,
